pid,sentence1,sentence2,label,clean_sentence1,clean_sentence2
4665,do you accept broadband bills,Broadband bill,1,do you accept broadband bill,broadband bill
26465,I am getting better fare for this flight,Check flight rate,0,i am get better fare for thi flight,check flight rate
57679,Flight from delhi to srinagar,check price for flight from mumbai to pune,1,flight from delhi to srinagar,check price for flight from mumbai to pune
22043,Availability of food,food available for guest,1,avail of food,food avail for guest
6522,This is my ID only,Can't find order ID.,0,thi is my id onli,ca n't find order id
17,quiz conditions,Conditions,0,quiz condit,condit
29824,Recharge offers,Prepaid recharge offers,1,recharg offer,prepaid recharg offer
42313,Activate for iphone,How to activate for my iphone,1,activ for iphon,how to activ for my iphon
71092,I need your help,I want your mobile number,0,i need your help,i want your mobil number
8007,another story,send another story,1,anoth stori,send anoth stori
9778,want reminder for phone,want reminder for,0,want remind for phone,want remind for
6510,Do you have any other option to get the reports,I haven't got my reports,0,do you have ani other option to get the report,i have n't got my report
40069,Stop sending jokes daily,Pls send me jokes,0,stop send joke daili,pl send me joke
16145,features of WAAC,What are the key features of WAAC,1,featur of waac,what are the key featur of waac
57160,latest version of the app,latest version,1,latest version of the app,latest version
15416,Is there any cashback,any discount for dinner?,0,is there ani cashback,ani discount for dinner
33934,But it was told to me that I will get the sms,Doctr has told me to do vitamin b12 test,0,but it wa told to me that i will get the sm,doctr ha told me to do vitamin b12 test
47179,check available resorts,check availability by zone,0,check avail resort,check avail by zone
28310,Sry bt i want to check my PNR status,Check flight pnr status,0,sri bt i want to check my pnr statu,check flight pnr statu
27636,delhi to kolkata,Book me a night ticket to Delhi tomorrow,0,delhi to kolkata,book me a night ticket to delhi tomorrow
21805,When will I receive the air tickets for my Group Tour?,Can we web check-in after receiving the air tickets for our group tour?,0,when will i receiv the air ticket for my group tour,can we web check-in after receiv the air ticket for our group tour
61750,tell me about discount deal on flight ticket,what are offers on flight booking,0,tell me about discount deal on flight ticket,what are offer on flight book
30858,Help me with the Premium for Criticare,Help me with the Premium for GCAP,0,help me with the premium for criticar,help me with the premium for gcap
63446,remind me to wish my birthday,wish my birthday,1,remind me to wish my birthday,wish my birthday
36043,i want offer on flight booking.,want to purchase Flight Tickets,0,i want offer on flight book,want to purchas flight ticket
60627,things I should and should not do if I have Dry Mouth?,Problems related to dry mouth,0,thing i should and should not do if i have dri mouth,problem relat to dri mouth
51021,Share the Key Features of GCAP,what are the key features,0,share the key featur of gcap,what are the key featur
8192,any cashback on flight booking,Book flight,0,ani cashback on flight book,book flight
17405,i want offer on flight tickets,Can u email me flight tickets,0,i want offer on flight ticket,can u email me flight ticket
24840,remind me for jog,call to remind jog,1,remind me for jog,call to remind jog
46506,Is there any online option to link bank to trading account?,link a bank account,0,is there ani onlin option to link bank to trade account,link a bank account
3828,Is this offer on airtel postpaid also,Is there any offer for airtel,1,is thi offer on airtel postpaid also,is there ani offer for airtel
19562,I want to book flight tickets for ID-E-MILAD,I want to book home collection,0,i want to book flight ticket for id-e-milad,i want to book home collect
38179,edit items in my cart,I want to see items in my cart,0,edit item in my cart,i want to see item in my cart
54752,how much time it will take,how much time needed to process payout,0,how much time it will take,how much time need to process payout
37481,check availability,check availability by zone,0,check avail,check avail by zone
28894,I wanted to check my report online,i want to check in,0,i want to check my report onlin,i want to check in
16549,modify my reminder,Can you help me edit my reminders,1,modifi my remind,can you help me edit my remind
17591,want reminder for drink water,can you list my reminder,0,want remind for drink water,can you list my remind
43953,tell me about discount deal on flights,what about cb,1,tell me about discount deal on flight,what about cb
48079,"Hey, can you set a reminder for me to call someone?  .","Hey, can you set a reminder for me to walk?  .",0,hey can you set a remind for me to call someon,hey can you set a remind for me to walk
69377,I didnt receive any cash back,I did not receive mail yet,0,i didnt receiv ani cash back,i did not receiv mail yet
23467,i dont want to book right now,Do not sent reminder,0,i dont want to book right now,do not sent remind
40822,i do not need reminder,I need a reminder to drink water,0,i do not need remind,i need a remind to drink water
33534,How much water should I drink,drink water,0,how much water should i drink,drink water
73775,remove all items,What all items are available?,0,remov all item,what all item are avail
17991,find Flight Tickets,Is there any reminder for flights ticket,0,find flight ticket,is there ani remind for flight ticket
36410,make a reminder phone,make a reminder,0,make a remind phone,make a remind
22487,Help me with Survival Benefits of My life,Help me with Survival Benefits of saral nivesh,0,help me with surviv benefit of my life,help me with surviv benefit of saral nivesh
5665,like to purchase Flight Tickets,Help me flight booking,0,like to purchas flight ticket,help me flight book
59039,unable to contact relationship manager,Unable to trade,0,unabl to contact relationship manag,unabl to trade
53504,I want to book a cab to home,I want to book a cab,0,i want to book a cab to home,i want to book a cab
37932,Whats the charge for the test,I wanted to know the HCV RNA blood test fee,0,what the charg for the test,i want to know the hcv rna blood test fee
52376,Delete Haptik account,Can I delete Haptik account completely,1,delet haptik account,can i delet haptik account complet
15851,I can get your phone number,Give me your mobile number,1,i can get your phone number,give me your mobil number
13434,Calculate my loan EMI,Calculate my loan EMI or Eligibility,1,calcul my loan emi,calcul my loan emi or elig
25799,Customer Care number,Can you send me the customer care number,1,custom care number,can you send me the custom care number
41777,other department to submit my issue,unable to submit grievance,0,other depart to submit my issu,unabl to submit grievanc
7500,Any offer running on ola?,Are there any cashback offers,0,ani offer run on ola,are there ani cashback offer
1534,I want to book as armed force category,I want to book a flight,0,i want to book as arm forc categori,i want to book a flight
38021,modify items in my cart,show me cart items,0,modifi item in my cart,show me cart item
6303,stop the flight alerts,Alert for flight,1,stop the flight alert,alert for flight
72341,show me flights without any stop,Plz list out flights options,0,show me flight without ani stop,plz list out flight option
9212,More than 15 years,Below 5 years,0,more than 15 year,below 5 year
23840,Yes,"Yes, let's talk!",0,ye,ye let 's talk
64421,Do u have any offer for flight,any discount on lunch?,0,do u have ani offer for flight,ani discount on lunch
33101,delete all reminders,i would like to see all my reminders,0,delet all remind,i would like to see all my remind
56039,What is the composition of your LPG which is supplied to domestic customers,What is the composition of LPG?,0,what is the composit of your lpg which is suppli to domest custom,what is the composit of lpg
13619,looking Flight Tickets,looking to Flight Tickets,0,look flight ticket,look to flight ticket
32346,Please book a flight,wana book a flight,0,pleas book a flight,wana book a flight
51402,Can I put Monsoon blinds in terrace?,Monsoon blind terrace,1,can i put monsoon blind in terrac,monsoon blind terrac
57362,prepare a reminder exercise,schedule a reminder jog,1,prepar a remind exercis,schedul a remind jog
9679,I want to know the key features of Total Secure,I want the Premium amount for Total Secure,0,i want to know the key featur of total secur,i want the premium amount for total secur
54643,recommend me Flight Tickets,i want flights from mumbai to delhi,0,recommend me flight ticket,i want flight from mumbai to delhi
29779,cost of paid wifi,what are payment options for paid wifi,0,cost of paid wifi,what are payment option for paid wifi
4360,I dont want any notifications,Not needed,0,i dont want ani notif,not need
62790,I want to book a flight,Want to book flight from Mumbai to Delhi,0,i want to book a flight,want to book flight from mumbai to delhi
12904,Can you list services you have,tell me list of services you offer,0,can you list servic you have,tell me list of servic you offer
43424,Total Secure,features for Total Secure Plan,0,total secur,featur for total secur plan
55889,who is winning,Who are you,0,who is win,who are you
19252,Need repairman for geyser,Need repairman for sofa,0,need repairman for geyser,need repairman for sofa
4987,You are boy or girl,Kon ho tum boy or a girl,1,you are boy or girl,kon ho tum boy or a girl
49804,schedule a reminder birthday,schedule a reminder jog,0,schedul a remind birthday,schedul a remind jog
15530,contract notes report,password for digital contract note,0,contract note report,password for digit contract note
38602,how much time will it take?,How much time,1,how much time will it take,how much time
52377,I want to check the items in my list,Need to check my invoice,0,i want to check the item in my list,need to check my invoic
